city,zipcode,query,location,coords,city_y,state,country
La Mata,03188,La Mata 03188,"La Mata, Torrevieja, el Baix Segura / La Vega Baja del Segura, Alacant / Alicante, Comunitat Valenciana, 03188, España","(38.0270781, -0.654673, 0.0)",,Comunitat Valenciana,España
Caldas da rainha,2500-115,Caldas da rainha 2500-115,"Caldas da Rainha, Leiria, Portugal","(39.4072118, -9.1346004, 0.0)",Caldas da Rainha,,Portugal
Encinas de Arriba,37892,Encinas de Arriba 37892,"Encinas de Arriba, Salamanca, Castilla y León, España","(40.7709572, -5.556518, 0.0)",,Castilla y León,España
CADIZ ,11006,CADIZ  11006,"Cádiz, Bahía de Cádiz, Cádiz, Andalucía, España","(36.5297438, -6.2928976, 0.0)",Cádiz,Andalucía,España
Vila Meã ,4920-140,Vila Meã  4920-140,"Vila Meã, Campos e Vila Meã, Vila Nova de Cerveira, Viana do Castelo, Portugal","(41.97514945, -8.682731386976396, 0.0)",Campos e Vila Meã,,Portugal
Sevilla,41980,Sevilla 41980,"Sevilla, Facinas, Tarifa, Campo de Gibraltar, Cádiz, Andalucía, 11380, España","(36.1435644, -5.6998468, 0.0)",,Andalucía,España
Amadora,2610-098 Alfragide,Amadora 2610-098 Alfragide,"Alfragide, Amadora, Lisboa, Portugal","(38.73366745, -9.216004474419574, 0.0)",Alfragide,,Portugal
La fuente (pulpi),04647,La fuente (pulpi) 04647,"La Fuente, Pulpí, Almería, Andalucía, 04640, España","(37.3900117, -1.7461928, 0.0)",,Andalucía,España
Lisboa,1000-300 Lisboa,Lisboa 1000-300 Lisboa,"Lisboa (Praça do Areeiro), Avenida Padre Manuel da Nóbrega, Areeiro, Lisboa, 1000-222 SÃO JOÃO DE DEUS, Portugal","(38.7437084, -9.133844, 0.0)",Lisboa,,Portugal
Lisboa,1000-302,Lisboa 1000-302,"Lisboa, Portugal","(38.7440523, -9.151827931741947, 0.0)",Lisboa,,Portugal
Noez,45162,Noez 45162,"La Noë, Saint-Abraham, Vannes, Morbihan, Bretagne, France métropolitaine, 56140, France","(47.8468027, -2.4038472, 0.0)",,Bretagne,France
Murillo de Rio Leza,26143,Murillo de Rio Leza 26143,"Murillo de Río Leza, La Rioja, España","(42.4028997, -2.3246959, 0.0)",,La Rioja,España
Manzanilla,21890,Manzanilla 21890,"Manzanilla, Burgo de Osma-Ciudad de Osma, Castilla y León, España","(41.5731956, -3.1125778, 0.0)",,Castilla y León,España
fuentes de oñoro,37480,fuentes de oñoro 37480,"Fuentes de Oñoro, Salamanca, Castilla y León, España","(40.5885229, -6.8132385, 0.0)",,Castilla y León,España
LASTRAS DE LA TORRE,09510,LASTRAS DE LA TORRE 09510,"Las Lastras, Rebolledo de la Torre, Burgos, Castilla y León, España","(42.6754727, -4.2148642, 0.0)",,Castilla y León,España
Alicante,66025449,Alicante 66025449,"Alicante, San Antonio de Requena, La Plana de Utiel-Requena, València / Valencia, Comunitat Valenciana, 46390, España","(39.522866, -1.1522532, 0.0)",,Comunitat Valenciana,España
Hospitalet,08901,Hospitalet 08901,"l'Hospitalet de Llobregat, Barcelonès, Barcelona, Catalunya, España","(41.3577466, 2.1145870752672113, 0.0)",l'Hospitalet de Llobregat,Catalunya,España
Seixal,2840-124,Seixal 2840-124,"Seixal, Setúbal, Portugal","(38.6422246, -9.1072662, 0.0)",Seixal,,Portugal
Fuentes de Oñoro,37480,Fuentes de Oñoro 37480,"Fuentes de Oñoro, Salamanca, Castilla y León, España","(40.5885229, -6.8132385, 0.0)",,Castilla y León,España
Sâo Martinho do porto,2460-095,Sâo Martinho do porto 2460-095,"São Martinho do Porto, Alcobaça, Leiria, Portugal","(39.5135311, -9.1335905, 0.0)",Alcobaça,,Portugal
Noblejas ,45350,Noblejas  45350,"Noblejas, Briviesca, Burgos, Castilla y León, España","(42.5100102, -3.3661611, 0.0)",Briviesca,Castilla y León,España
NERVA,211670,NERVA 211670,,,,,
Villademor de la Vega,24237,Villademor de la Vega 24237,"Villademor de la Vega, León, Castilla y León, 24234, España","(42.2697632, -5.5687703, 0.0)",,Castilla y León,España
vila nova gaia,4400,vila nova gaia 4400,"Canidelo, Vila Nova de Gaia, Porto, 4400, Portugal","(41.1255886, -8.636929234926443, 0.0)",Vila Nova de Gaia,,Portugal
Sabugal,6320-425,Sabugal 6320-425,"Sabugal, Guarda, Portugal","(40.403494949999995, -7.050143753400468, 0.0)",,,Portugal
Vila Viçosa,7160-284,Vila Viçosa 7160-284,"Vila Viçosa, Évora, Portugal","(38.7774063, -7.4166909, 0.0)",,,Portugal
Zambujal,3250-173 Alvaiázere,Zambujal 3250-173 Alvaiázere,"Zambujal, Alvaiázere, Leiria, 3250-108, Portugal","(39.7947826, -8.3937441, 0.0)",,,Portugal
Lisboa,1250-069,Lisboa 1250-069,"Lisboa, Portugal","(38.7440523, -9.151827931741947, 0.0)",Lisboa,,Portugal
Monforte del Cid,03679,Monforte del Cid 03679,"Monforte del Cid, el Vinalopó Mitjà / El Vinalopó Medio, Alacant / Alicante, Comunitat Valenciana, 03670, España","(38.3791541, -0.7290459, 0.0)",,Comunitat Valenciana,España
San jose de la Rinconada,41300<U+215E><U+215E>,San jose de la Rinconada 41300<U+215E><U+215E>,,,,,
Ballobar,22234,Ballobar 22234,"Ballobar, Bajo Cinca / Baix Cinca, Huesca, Aragón, España","(41.620467, 0.1919892, 0.0)",,Aragón,España
Vila Real,5000-198,Vila Real 5000-198,"Vila Real, Portugal","(41.3021183, -7.744898, 0.0)",Vila Real,,Portugal
Mealhada,3050-387,Mealhada 3050-387,"Mealhada, Aveiro, Portugal","(40.3792003, -8.4517733, 0.0)",Mealhada,,Portugal
London,SE192UW,London SE192UW,,,,,
Algés,1495-034,Algés 1495-034,"Algés, Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Oeiras, Lisboa, 1495, Portugal","(38.7027915, -9.2287735, 0.0)","Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",,Portugal
Higuera de la Serena,06441,Higuera de la Serena 06441,"Higuera de la Serena, Badajoz, Extremadura, España","(38.645422, -5.7420357, 0.0)",,Extremadura,España
Lisboa,1250-096,Lisboa 1250-096,"Lisboa, Portugal","(38.7440523, -9.151827931741947, 0.0)",Lisboa,,Portugal
Villaminaya,45440,Villaminaya 45440,"Villaminaya, Montes de Toledo, Toledo, Castilla-La Mancha, España","(39.7114161, -3.8711454, 0.0)",,Castilla-La Mancha,España
Chainça - Rio Maior,2040-087,Chainça - Rio Maior 2040-087,"Estrada da Chainça, Rio Maior, Santarém, 2040-354, Portugal","(39.3308721, -8.9258521, 0.0)",Rio Maior,,Portugal
Lisboa,1100-341,Lisboa 1100-341,"Lisboa, Portugal","(38.7440523, -9.151827931741947, 0.0)",Lisboa,,Portugal
Lisboa,1300-360,Lisboa 1300-360,"Lisboa, Portugal","(38.7440523, -9.151827931741947, 0.0)",Lisboa,,Portugal
Sabugal,6320-344,Sabugal 6320-344,"Sabugal, Guarda, Portugal","(40.403494949999995, -7.050143753400468, 0.0)",,,Portugal
Chicago,10000000146,Chicago 10000000146,"Chicago, Cayenne, Arrondissement de Cayenne, Guyane, 97300, France","(4.9324371, -52.331324, 0.0)",Cayenne,Guyane,France
Lisboa,1700-097,Lisboa 1700-097,"Lisboa, Portugal","(38.7440523, -9.151827931741947, 0.0)",Lisboa,,Portugal
Lisboa,1250-142,Lisboa 1250-142,"Lisboa, Portugal","(38.7440523, -9.151827931741947, 0.0)",Lisboa,,Portugal
Corte de peleas,06196,Corte de peleas 06196,"Plaza del Stmo. Cristo de la Corte, Corte de Peleas, Tierra de Barros, Badajoz, Extremadura, España","(38.72510785, -6.670561781154403, 0.0)",,Extremadura,España
San Cristóbal de La Lagun,38206,San Cristóbal de La Lagun 38206,,,,,
Son servera,07550,Son servera 07550,"Son Vives d'abaix, camí vell de Son Servera, Sant Llorenç des Cardassar, Llevant, Illes Balears, 07530, España","(39.615192199999996, 3.304573251420459, 0.0)",Sant Llorenç des Cardassar,Illes Balears,España
El Cubillo de Uceda,19186,El Cubillo de Uceda 19186,"El Cubillo de Uceda, Guadalajara, Castilla-La Mancha, España","(40.8235549, -3.4057849, 0.0)",,Castilla-La Mancha,España
Fuentenebro,09461,Fuentenebro 09461,,,,,
Umbrías,05693,Umbrías 05693,"Umbrías, Litago, Tarazona y el Moncayo, Zaragoza, Aragón, España","(41.8082452, -1.7568565, 0.0)",,Aragón,España
Chaves,5400-428,Chaves 5400-428,"Chaves, Vila Real, Portugal","(41.7399453, -7.471477, 0.0)",Chaves,,Portugal
Sóller,07108,Sóller 07108,"Sóller, Serra de Tramuntana, Illes Balears, España","(39.7784507, 2.697039815309199, 0.0)",Sóller,Illes Balears,España
Benizar,30442,Benizar 30442,"Calle Eras de Benizar, Fuente de Benízar, Benízar, Moratalla, Noroeste, Región de Murcia, España","(38.2703699, -1.9890665, 0.0)",,Región de Murcia,España
Belverde,2845-483 Amora,Belverde 2845-483 Amora,"Estrada dos Foros de Amora, Quinta da Charnequinha, Amora, Seixal, Setúbal, 2845-573, Portugal","(38.6056986, -9.1345162, 0.0)",Amora,,Portugal
Portimão,8500-822,Portimão 8500-822,"Portimão, Faro, Portugal","(37.1375808, -8.5368426, 0.0)",Portimão,,Portugal
Alges,1495-061,Alges 1495-061,"Algés, Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Oeiras, Lisboa, 1495, Portugal","(38.7027915, -9.2287735, 0.0)","Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",,Portugal
"Palmeira de Faro, Esposende",4740-591,"Palmeira de Faro, Esposende 4740-591","Palmeira de Faro e Curvos, Esposende, Barcelos, Braga, 4740-591, Portugal","(41.534909400000004, -8.746982020432895, 0.0)",Barcelos,,Portugal
PORTO,4100-115,PORTO 4100-115,"Porto, Portugal","(41.1494512, -8.6107884, 0.0)",Porto,,Portugal
Arona,38626,Arona 38626,"Arona, Santa Cruz de Tenerife, Canarias, España","(28.0583997, -16.68729122067589, 0.0)",Arona,,España
Amarante,4600-792,Amarante 4600-792,"Amarante (São Gonçalo), Madalena, Cepelos e Gatão, Amarante, Porto, Portugal","(41.27926375, -8.082420930744407, 0.0)","Amarante (São Gonçalo), Madalena, Cepelos e Gatão",,Portugal
Almada,2800-088,Almada 2800-088,"Almada, Setúbal, Portugal","(38.6764302, -9.1649974, 0.0)",Almada,,Portugal
Torres Vedras,2560-272,Torres Vedras 2560-272,"Torres Vedras, Lisboa, Portugal","(39.11014835, -9.276731117530929, 0.0)",,,Portugal
Oliveira de Frades,3680-110 Oliveira de Frades,Oliveira de Frades 3680-110 Oliveira de Frades,"Oliveira de Frades, Souto de Lafões e Sejães, Oliveira de Frades, Viseu, Portugal","(40.727947349999994, -8.175153958589735, 0.0)",,,Portugal
Coimbra,3030-508,Coimbra 3030-508,"Coimbra, Portugal","(40.2111931, -8.4294632, 0.0)",Coimbra,,Portugal
figueira da foz,3080030,figueira da foz 3080030,"Figueira da Foz, Coimbra, Portugal","(40.1485808, -8.855655, 0.0)",Figueira da Foz,,Portugal
Maguilla ,06939,Maguilla  06939,,,,,
Lisboa,1070-159,Lisboa 1070-159,"Lisboa, Portugal","(38.7440523, -9.151827931741947, 0.0)",Lisboa,,Portugal
Beja,7800-611,Beja 7800-611,"Beja - Vila Azedo, Quinta dos Loendros, Nossa Senhora das Neves, Beja, 7800-101, Portugal","(38.0136798, -7.8268973, 0.0)",Beja,,Portugal
ORIA,04810,ORIA 04810,,,,,
Lisboa,1700-178,Lisboa 1700-178,"Lisboa, Portugal","(38.7440523, -9.151827931741947, 0.0)",Lisboa,,Portugal
Toral de los Guzmanes ,24237,Toral de los Guzmanes  24237,"Toral de los Guzmanes, León, Castilla y León, España","(42.2428548, -5.5671476, 0.0)",,Castilla y León,España
Cotovios,2600-860,Cotovios 2600-860,,,,,
Évora,7005-451,Évora 7005-451,"Évora, Portugal","(38.5707742, -7.9092808, 0.0)",Évora,,Portugal
Valongo Do Vouga,3750-808,Valongo Do Vouga 3750-808,"Valongo do Vouga, Águeda, Aveiro, Portugal","(40.6276005, -8.4437336, 0.0)",Águeda,,Portugal
lisboa,1150-015,lisboa 1150-015,"Lisboa, Portugal","(38.7440523, -9.151827931741947, 0.0)",Lisboa,,Portugal
Viseu,3500-892,Viseu 3500-892,"Viseu, Portugal","(40.65996475, -7.907761901234063, 0.0)",Viseu,,Portugal
valencia del ventoso,-,valencia del ventoso -,"Valencia del Ventoso, Zafra - Río Bodión, Badajoz, Extremadura, España","(38.2659272, -6.4736517, 0.0)",,Extremadura,España
Lordelo PRD,4580-439 LORDELO PRD,Lordelo PRD 4580-439 LORDELO PRD,"Torre dos Alcoforados, EN 209, Lordelo, Paredes, Porto, 4580-439, Portugal","(41.248997700000004, -8.408380554826547, 0.0)",Lordelo,,Portugal
Gafanha da Encarnação,3830-457,Gafanha da Encarnação 3830-457,"Gafanha da Encarnação, Ílhavo, Aveiro, Portugal","(40.6173145, -8.7336063, 0.0)",Ílhavo,,Portugal
Aljustrel,7600-131,Aljustrel 7600-131,"Aljustrel, Beja, Portugal","(37.89032505, -8.196355048795365, 0.0)",,,Portugal
Teaneck,07666,Teaneck 07666,,,,,
Lisboa,1070 237,Lisboa 1070 237,"Lisboa, Portugal","(38.7440523, -9.151827931741947, 0.0)",Lisboa,,Portugal
Gran Canaria,35004,Gran Canaria 35004,"Las Palmas de Gran Canaria, Las Palmas, Canarias, 35004, España","(28.11635345, -15.423180177682555, 0.0)",Las Palmas de Gran Canaria,,España
Amadora,2700-631,Amadora 2700-631,"Amadora, Lisboa, Portugal","(38.7595162, -9.223677009460125, 0.0)",,,Portugal
Póvoa de Lanhoso,4830-513,Póvoa de Lanhoso 4830-513,"Póvoa de Lanhoso, Braga, Portugal","(41.5759516, -8.2699521, 0.0)",,,Portugal
CastroVerde,7780166,CastroVerde 7780166,"Castroverde, Castroverde de Campos, Zamora, Castilla y León, España","(42.0324575, -5.3946211, 0.0)",,Castilla y León,España
Barcelona,008001,Barcelona 008001,"Barcelona, Pozo Alcón, Jaén, Andalucía, 23485, España","(37.7061762, -2.9351876, 0.0)",,Andalucía,España
Quinta do Conde,2975-287,Quinta do Conde 2975-287,"Quinta do Conde, Sesimbra, Setúbal, 2975-287, Portugal","(38.574040100000005, -9.045407708359939, 0.0)",,,Portugal
Coimbra,3000-548,Coimbra 3000-548,"Coimbra, Portugal","(40.2111931, -8.4294632, 0.0)",Coimbra,,Portugal
Batalha ,2440-339CasaldoRelvas,Batalha  2440-339CasaldoRelvas,,,,,
Casarabonela ,29566,Casarabonela  29566,"Casarabonela, Sierra de las Nieves, Málaga, Andalucía, España","(36.7852106, -4.8430732, 0.0)",,Andalucía,España
Porto,4100-130,Porto 4100-130,"Porto, Portugal","(41.1494512, -8.6107884, 0.0)",Porto,,Portugal
RIBERA DEL FRENO,06225,RIBERA DEL FRENO 06225,,,,,
ALBARREAL DE TAJP,45522,ALBARREAL DE TAJP 45522,,,,,
Porto,4200-283,Porto 4200-283,"Porto, Portugal","(41.1494512, -8.6107884, 0.0)",Porto,,Portugal
Cambridge,CB19NJ,Cambridge CB19NJ,,,,,
Mieres,33614,Mieres 33614,"Mieres, Asturias / Asturies, 33600, España","(43.2488161, -5.7722468, 0.0)",Mieres,Asturias / Asturies,España
Portimão,8500-508,Portimão 8500-508,"Portimão, Faro, Portugal","(37.19420955, -8.585577395168343, 0.0)",,,Portugal
Torremendo,03313,Torremendo 03313,"Torremendo, Orihuela, el Baix Segura / La Vega Baja del Segura, Alacant / Alicante, Comunitat Valenciana, España","(37.9920518, -0.8653719, 0.0)",,Comunitat Valenciana,España
Guimarães,4805-453 Briteiros Salvador,Guimarães 4805-453 Briteiros Salvador,"Briteiros (São Salvador), Briteiros (São Salvador) e Briteiros (Santa Leocádia), Guimarães, Braga, 4805-015, Portugal","(41.5214545, -8.3232967, 0.0)",Briteiros (São Salvador) e Briteiros (Santa Leocádia),,Portugal
Galende Ilanes,49395,Galende Ilanes 49395,"Ilanes, Galende, Zamora, Castilla y León, 49350, España","(42.0880733, -6.6604468, 0.0)",,Castilla y León,España
Figueira Da Foz,3080-755,Figueira Da Foz 3080-755,"Figueira da Foz, Coimbra, Portugal","(40.1485808, -8.855655, 0.0)",Figueira da Foz,,Portugal
SANTA MARIA DA FEIRA,4520-210SANTAMARIADAFEIRA,SANTA MARIA DA FEIRA 4520-210SANTAMARIADAFEIRA,,,,,
Seixal,2845-110,Seixal 2845-110,"Seixal, Setúbal, Portugal","(38.6422246, -9.1072662, 0.0)",Seixal,,Portugal
Viseu ,3500-531Silgueiros,Viseu  3500-531Silgueiros,,,,,
CALDAS DE VIZELA,4815-474,CALDAS DE VIZELA 4815-474,"Caldas de Vizela, Vizela, Braga, 4815-474, Portugal","(41.3818934, -8.3147785, 0.0)",Vizela,,Portugal
Guadassequies,46839,Guadassequies 46839,"Guadasséquies, la Vall d'Albaida, València / Valencia, Comunitat Valenciana, España","(38.9245811, -0.4865189, 0.0)",,Comunitat Valenciana,España
BOLBAITE,46822,BOLBAITE 46822,"Bolbaite, La Canal de Navarrés, València / Valencia, Comunitat Valenciana, España","(39.0609622, -0.6744835, 0.0)",,Comunitat Valenciana,España
Villar de Chinchilla,02695,Villar de Chinchilla 02695,"Villar de Chinchilla, Chinchilla de Monte-Aragón, Albacete, Castilla-La Mancha, España","(38.900555, -1.5274644, 0.0)",Chinchilla de Monte-Aragón,Castilla-La Mancha,España
Póvoa de Varzim,4490641,Póvoa de Varzim 4490641,"Póvoa de Varzim, Porto, 4490-438, Portugal","(41.3794188, -8.7598689, 0.0)",Póvoa de Varzim,,Portugal
Moratalla,30442,Moratalla 30442,"Moratalla, Noroeste, Región de Murcia, España","(38.1884392, -1.8909344, 0.0)",,Región de Murcia,España
"Caldas da Rainha, Leiria",2500-298,"Caldas da Rainha, Leiria 2500-298","Caldas da Rainha, Leiria, Portugal","(39.4072118, -9.1346004, 0.0)",Caldas da Rainha,,Portugal
Montemor-o-Velho,3140-202,Montemor-o-Velho 3140-202,"Montemor-o-Velho, Coimbra, Portugal","(40.1726104, -8.6844483, 0.0)",,,Portugal
riola,46417,riola 46417,"Riola, Carrascalet, Algemesí, la Ribera Alta, València / Valencia, Comunitat Valenciana, 46680, España","(39.1961238, -0.4363474, 0.0)",Algemesí,Comunitat Valenciana,España
Alcobaça ,2460-045,Alcobaça  2460-045,"Rua D Alcobaça, Casais do Norte, Alfeizerão, Alcobaça, Leiria, 2460, Portugal","(39.5003367, -9.1064273, 0.0)",Alcobaça,,Portugal
PAREDES,4580-402,PAREDES 4580-402,"Paredes, Porto, Portugal","(41.2123637, -8.347580212435714, 0.0)",Paredes,,Portugal
gafanha da nazare,3830-554,gafanha da nazare 3830-554,"Gafanha da Nazaré, Ílhavo, Aveiro, Portugal","(40.6376106, -8.7136614, 0.0)",Gafanha da Nazaré,,Portugal
Queluz,2745-758,Queluz 2745-758,"Queluz, Queluz e Belas, Sintra, Lisboa, 2745, Portugal","(38.7604252, -9.2559895, 0.0)",Queluz,,Portugal
Grandola -Setubal ,7570-779,Grandola -Setubal  7570-779,"Carvalhal, Grândola, Setúbal, 7570-779, Portugal","(38.3105314, -8.75095896610513, 0.0)",,,Portugal
Las Palmas Gran Canaria,35004,Las Palmas Gran Canaria 35004,"Las Palmas de Gran Canaria, Las Palmas, Canarias, 35004, España","(28.11635345, -15.423180177682555, 0.0)",Las Palmas de Gran Canaria,,España
Maia,4470-605,Maia 4470-605,"Cidade da Maia, Maia, Porto, Portugal","(41.232208, -8.6273183, 0.0)",Cidade da Maia,,Portugal
Costa da Caparica,2825-355,Costa da Caparica 2825-355,"Costa da Caparica, Almada, Setúbal, Portugal","(38.6445165, -9.2336068, 0.0)",Costa da Caparica,,Portugal
Lisboa,1000-039,Lisboa 1000-039,"Lisboa, Portugal","(38.7440523, -9.151827931741947, 0.0)",Lisboa,,Portugal
Ferrel,2520-160,Ferrel 2520-160,"Ferrel, Peniche, Leiria, 2520-160, Portugal","(39.3639675, -9.337078, 0.0)",Peniche,,Portugal
St. Hipòlit de Voltregà,08152,St. Hipòlit de Voltregà 08152,"Carrer Sant Jordi, Sant Hipòlit de Voltregà, Osona, Barcelona, Catalunya, 08512, España","(42.014578, 2.2451853, 0.0)",,Catalunya,España
Castellón,1200,Castellón 1200,"Onda, la Plana Baixa, Castelló / Castellón, Comunitat Valenciana, 1200, España","(39.9626761, -0.264241, 0.0)",,Comunitat Valenciana,España
Valongo,4440,Valongo 4440,"Valongo, Porto, Portugal","(41.1909794, -8.4980511, 0.0)",Valongo,,Portugal
Vila Nova De Gaia,4400-088,Vila Nova De Gaia 4400-088,"Vila Nova de Gaia, Porto, Portugal","(41.1300103, -8.6058415, 0.0)",Vila Nova de Gaia,,Portugal
Bilbao,480009,Bilbao 480009,"Bilbao, Bizkaia, Euskadi, España","(43.2630018, -2.9350039, 0.0)",Bilbao,Euskadi,España
-,-,- -,,,,,
Brovales,06389,Brovales 06389,,,,,
Figueira da Foz ,3090-495,Figueira da Foz  3090-495,"Figueira da Foz, Coimbra, Portugal","(40.1485808, -8.855655, 0.0)",Figueira da Foz,,Portugal
Castanheira de pera,3280-053,Castanheira de pera 3280-053,,,,,
Lisboa,1050-240,Lisboa 1050-240,"Lisboa, Portugal","(38.7440523, -9.151827931741947, 0.0)",Lisboa,,Portugal
Agualva-Cacém,2735-668,Agualva-Cacém 2735-668,"Agualva-Cacém, Agualva e Mira-Sintra, Sintra, Lisboa, 2735-229, Portugal","(38.7702862, -9.3006871, 0.0)",Agualva-Cacém,,Portugal
Porto,4100-320,Porto 4100-320,"Porto, Portugal","(41.1494512, -8.6107884, 0.0)",Porto,,Portugal
Castro Verde,7780-207,Castro Verde 7780-207,"Castro Verde, Beja, Portugal","(37.697995, -8.082275, 0.0)",,,Portugal
Grândola,7570-789,Grândola 7570-789,"Troia, Tróia, Carvalhal, Grândola, Setúbal, 7570-789, Portugal","(38.485924275, -8.897788548771247, 0.0)",,,Portugal
Vila do Conde,4480-757,Vila do Conde 4480-757,"Vila do Conde, Porto, Portugal","(41.3580981, -8.7475631, 0.0)",Vila do Conde,,Portugal
Lisboa,1200-220,Lisboa 1200-220,"220, Rua 9 de Abril, São Pedro do Estoril, Cascais e Estoril, Cascais, Lisboa, 2765-542, Portugal","(38.6961133, -9.3727348, 0.0)",Cascais e Estoril,,Portugal
Castillo de Bayuela,45641,Castillo de Bayuela 45641,"Castillo de Bayuela, Sierra de San Vicente, Toledo, Castilla-La Mancha, España","(40.0998825, -4.6851982, 0.0)",,Castilla-La Mancha,España
Huddersfield,HD47RD,Huddersfield HD47RD,,,,,
Vau,2510-665,Vau 2510-665,"Vau, Óbidos, Leiria, 2510-665, Portugal","(39.36961563534442, -9.21397860210966, 0.0)",,,Portugal
Lisboa,2675-615 odivelas,Lisboa 2675-615 odivelas,"Odivelas, Lisboa, Portugal","(38.7904338, -9.1792617, 0.0)",Odivelas,,Portugal
Torreira ,3870-348,Torreira  3870-348,"Torreira, Murtosa, Aveiro, Portugal","(40.7604396, -8.7065433, 0.0)",,,Portugal
Lisboa,1070-100Lisboa,Lisboa 1070-100Lisboa,,,,,
"soller, Mallorca",07100soller,"soller, Mallorca 07100soller",,,,,
Hernan Cortes ,06412,Hernan Cortes  06412,"Hernán Cortés - Ciril Amorós, Carrer d'Hernán Cortés, el Pla del Remei, l'Eixample, Comarca de València, València / Valencia, Comunitat Valenciana, 46004, España","(39.4671035, -0.3706689, 0.0)",,Comunitat Valenciana,España
Santa Cruz de Tenerife,38632,Santa Cruz de Tenerife 38632,"Arona, Santa Cruz de Tenerife, Canarias, 38632, España","(28.039123375000003, -16.648584782779352, 0.0)",Arona,,España
Kaliningrad,236019,Kaliningrad 236019,,,,,
Vila Pouca de Aguiar,5450-017,Vila Pouca de Aguiar 5450-017,"Vila Pouca de Aguiar, Vila Real, Portugal","(41.5007614, -7.6442868, 0.0)",,,Portugal
Monforte Del Cid,03679,Monforte Del Cid 03679,"Monforte del Cid, el Vinalopó Mitjà / El Vinalopó Medio, Alacant / Alicante, Comunitat Valenciana, 03670, España","(38.3791541, -0.7290459, 0.0)",,Comunitat Valenciana,España
Arada,3885-032,Arada 3885-032,"Arada, Ovar, Aveiro, 3885-113, Portugal","(40.9152673, -8.5995458, 0.0)",Ovar,,Portugal
Porto,4100-325,Porto 4100-325,"Porto, Portugal","(41.1494512, -8.6107884, 0.0)",Porto,,Portugal
Londres,12E6BW,Londres 12E6BW,,,,,
Valencia,460004,Valencia 460004,,,,,
Moscow,119049,Moscow 119049,,,,,
Bronchales,44367,Bronchales 44367,"Bronchales, Sierra de Albarracín, Teruel, Aragón, España","(40.5089399, -1.5886069, 0.0)",,Aragón,España
Las palmas de GC,35005,Las palmas de GC 35005,"ByBike LPA 05 Rotonda Torre Las Palmas, Autopista del Sur, Las Alcaravaneras, Las Palmas de Gran Canaria, Las Palmas, Canarias, 35006, España","(28.1290047, -15.4297307, 0.0)",Las Palmas de Gran Canaria,,España
São Mamede de Infesta,4465-095,São Mamede de Infesta 4465-095,"São Mamede de Infesta, Matosinhos, Porto, 4465-095, Portugal","(41.1912232, -8.6106388, 0.0)",São Mamede de Infesta,,Portugal
Cabo Cervera-Torrevieja,03188,Cabo Cervera-Torrevieja 03188,"Playa de Cabo Cervera, Urbanización Cabo Cervera, Torrevieja, el Baix Segura / La Vega Baja del Segura, Alacant / Alicante, Comunitat Valenciana, España","(38.00556795, -0.6494239212659294, 0.0)",,Comunitat Valenciana,España
corral rubio,02693,corral rubio 02693,"Corral Rubio, Valdepeñas, La Mancha, Ciudad Real, Castilla-La Mancha, España","(38.7152889, -3.440753, 0.0)",,Castilla-La Mancha,España
MADRID,28O48,MADRID 28O48,,,,,
Oeiras,2780-012,Oeiras 2780-012,"Oeiras, Lisboa, Portugal","(38.7124971, -9.271300382407272, 0.0)",,,Portugal
Alcolea de Calatrava,13107,Alcolea de Calatrava 13107,"Alcolea de Calatrava, Campo de Calatrava, Ciudad Real, Castilla-La Mancha, España","(38.9861733, -4.1152469, 0.0)",,Castilla-La Mancha,España
Tahiche ,35507,Tahiche  35507,"Tahíche, Teguise, Las Palmas, Canarias, 35507, España","(29.0113623, -13.536347, 0.0)",,,España
lisboa,1600-238 lisboa,lisboa 1600-238 lisboa,"Lisboa, Portugal","(38.7440523, -9.151827931741947, 0.0)",Lisboa,,Portugal
Porto,4100 454,Porto 4100 454,"Porto, Portugal","(41.1494512, -8.6107884, 0.0)",Porto,,Portugal
CUNTIS,36677,CUNTIS 36677,"Cuntis, Caldas, Pontevedra, Galicia, 36670, España","(42.6353362, -8.5617942, 0.0)",Cuntis,Galicia,España
Santa Cruz de Tenerife,38107,Santa Cruz de Tenerife 38107,"Santa Cruz de Tenerife, Canarias, España","(28.499389700000002, -16.232933464784338, 0.0)",Santa Cruz de Tenerife,,España
Serreleis,4925-598,Serreleis 4925-598,"Serreleis, Viana do Castelo, 4925-598, Portugal","(41.7077545, -8.7511027, 0.0)",,,Portugal
Maia,4470-285,Maia 4470-285,"Cidade da Maia, Maia, Porto, Portugal","(41.232208, -8.6273183, 0.0)",Cidade da Maia,,Portugal
FRIAS,09211,FRIAS 09211,,,,,
Monte Gordo,8900-400,Monte Gordo 8900-400,"Monte Gordo, Vila Real de Santo António, Faro, Portugal","(37.1824461, -7.451945, 0.0)",,,Portugal
SANTA CRUZ DE TENERIFE,38007,SANTA CRUZ DE TENERIFE 38007,"Santa Cruz de Tenerife, Canarias, España","(28.499389700000002, -16.232933464784338, 0.0)",Santa Cruz de Tenerife,,España
Lagos,8600-774,Lagos 8600-774,"Lagos, São Gonçalo de Lagos, Lagos, Faro, 8600-583, Portugal","(37.1010903, -8.6724909, 0.0)",Lagos,,Portugal
