city,zipcode,query,location,coords,city_y,state,country
Hospitalet de Llobregat,08901,Hospitalet de Llobregat 08901,"l'Hospitalet de Llobregat, Barcelonès, Barcelona, Catalunya, España","(41.3577466, 2.1145870752672113, 0.0)",l'Hospitalet de Llobregat,Catalunya,España
Maruri-Jatabe,48112,Maruri-Jatabe 48112,"Maruri-Jatabe, Bizkaia, Euskadi, España","(43.38018, -2.866926, 0.0)",,Euskadi,España
Lisboa,1049-062,Lisboa 1049-062,,,,,
Dénia,o3700,Dénia o3700,,,,,
HOSPITALET DE LLOBREGAT,08901,HOSPITALET DE LLOBREGAT 08901,"l'Hospitalet de Llobregat, Barcelonès, Barcelona, Catalunya, España","(41.3577466, 2.1145870752672113, 0.0)",l'Hospitalet de Llobregat,Catalunya,España
Villalgordo del Jucar,02636,Villalgordo del Jucar 02636,"Villalgordo del Júcar, Albacete, Castilla-La Mancha, España","(39.2970238, -2.0631959, 0.0)",,Castilla-La Mancha,España
canjayar,04450,canjayar 04450,"Canjáyar, Almería, Andalucía, España","(37.0104452, -2.7406217, 0.0)",,Andalucía,España
capdeñera,07599,capdeñera 07599,,,,,
Santaella,14546,Santaella 14546,"Santaella, Ribera Baja, Puente Genil, Córdoba, Andalucía, 14500, España","(37.393321, -4.7671636, 0.0)",,Andalucía,España
Villanueva del rosario,29312,Villanueva del rosario 29312,"Villanueva del Rosario, Nororma, Málaga, Andalucía, España","(36.998599, -4.3660482, 0.0)",,Andalucía,España
Porto,4000-032,Porto 4000-032,"Porto, Portugal","(41.1494512, -8.6107884, 0.0)",Porto,,Portugal
L\'Hospitalet de Llobregat,08901,L\'Hospitalet de Llobregat 08901,"l'Hospitalet de Llobregat, Barcelonès, Barcelona, Catalunya, España","(41.3577466, 2.1145870752672113, 0.0)",l'Hospitalet de Llobregat,Catalunya,España
Mellanzos de Eslonza,24165,Mellanzos de Eslonza 24165,,,,,
Urzainqui,31416,Urzainqui 31416,"Urzainqui/Urzainki, Pirinioak / Pirineo, Navarra - Nafarroa, España","(42.8313263, -0.9472109, 0.0)",Urzainqui/Urzainki,Navarra - Nafarroa,España
La Albuera,06170,La Albuera 06170,,,,,
PONTEVEDRA,36118,PONTEVEDRA 36118,"Pontevedra, Galicia, España","(42.4318876, -8.6431592, 0.0)",Pontevedra,Galicia,España
Setubal,2900-077,Setubal 2900-077,"Setúbal, Portugal","(38.5241783, -8.8932341, 0.0)",Setúbal,,Portugal
Vilaça - Braga,4705-651,Vilaça - Braga 4705-651,"Vilaça, Vilaça e Fradelos, Braga, 4705-651, Portugal","(41.51604735, -8.483833859911854, 0.0)",Braga,,Portugal
Charco del Pino,38595,Charco del Pino 38595,"Charco del Pino, Granadilla de Abona, Santa Cruz de Tenerife, Canarias, España","(28.1087689, -16.592896304787235, 0.0)",,,España
Curicó,3340000,Curicó 3340000,,,,,
Fontanars dels Alforins,46635,Fontanars dels Alforins 46635,"Fontanars dels Alforins, la Vall d'Albaida, València / Valencia, Comunitat Valenciana, España","(38.78302, -0.7853353, 0.0)",,Comunitat Valenciana,España
Son Carrio,07540,Son Carrio 07540,"Son Carrió, Ciutadella-Artrutx, Son Carrió, Ciutadella, Menorca, Illes Balears, 07769, España","(39.9743474, 3.8432892, 0.0)",,Illes Balears,España
Vianos,02315,Vianos 02315,"Vianos, Albacete, Castilla-La Mancha, España","(38.632816, -2.5007956, 0.0)",,Castilla-La Mancha,España
El Papiol,08754,El Papiol 08754,"el Papiol, Baix Llobregat, Barcelona, Catalunya, 08780, España","(41.4364229, 2.0099593, 0.0)",el Papiol,Catalunya,España
barcelona,0808009,barcelona 0808009,"Barcelona, Pozo Alcón, Jaén, Andalucía, 23485, España","(37.7061762, -2.9351876, 0.0)",,Andalucía,España
LA ALGABA,41980,LA ALGABA 41980,"La Algaba, Palma del Río, Córdoba, Andalucía, España","(37.6981567, -5.2122129, 0.0)",,Andalucía,España
PUERTOLLANO,1350P,PUERTOLLANO 1350P,,,,,
NOBLEJAS,45350,NOBLEJAS 45350,"Noblejas, Briviesca, Burgos, Castilla y León, España","(42.5100102, -3.3661611, 0.0)",Briviesca,Castilla y León,España
Vallada,46691,Vallada 46691,"Vallada, Villaseco de los Gamitos, Salamanca, Castilla y León, 37114, España","(41.0415701, -6.1139809, 0.0)",,Castilla y León,España
Cadiz,11006,Cadiz 11006,"Cádiz, Bahía de Cádiz, Cádiz, Andalucía, España","(36.5297438, -6.2928976, 0.0)",Cádiz,Andalucía,España
A coruña,15o10,A coruña 15o10,,,,,
