zipcode,location,coords,city,state,country
31694,"Erro, Pirinioak / Pirineo, Navarra - Nafarroa, 31694, España","(42.978551541176486, -1.3676735923248515, 0.0)",Erro,Navarra - Nafarroa,España
28902,"Getafe, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28902, España","(40.3111839238775, -3.731242791451759, 0.0)",Getafe,Comunidad de Madrid,España
46192,"Eselsbach, Leopoldshöhe, Kreis Lippe, Nordrhein-Westfalen, 33818, Deutschland","(52.0150194, 8.7183568, 0.0)",Leopoldshöhe,Nordrhein-Westfalen,Deutschland
48830,"Güeñes, Bizkaia, Euskadi, 48830, España","(43.19893675, -3.0491606, 0.0)",Güeñes,Euskadi,España
03730,"Xàbia / Jávea, la Marina Alta, Alacant / Alicante, Comunitat Valenciana, 03730, España","(38.78792522947021, 0.16943302204430438, 0.0)",,Comunitat Valenciana,España
08450,"Haraucourt, Sedan, Ardennes, Grand Est, France métropolitaine, 08450, France","(49.60988048181818, 4.9297743302474775, 0.0)",,Grand Est,France
23658,"Jamilena, Jaén, Andalucía, 23658, España","(37.74719145, -3.9120237078120894, 0.0)",,Andalucía,España
29340,"Riec-sur-Bélon, Quimper, Finistère, Bretagne, France métropolitaine, 29340, France","(47.84125077499999, -3.6897618936416734, 0.0)",,Bretagne,France
22374,"Broto, Sobrarbe, Huesca, Aragón, 22374, España","(42.57878745, -0.11385561727445404, 0.0)",,Aragón,España
34800,"Villeneuvette, Lodève, Hérault, Occitanie, France métropolitaine, 34800, France","(43.616117531914895, 3.4138679026080294, 0.0)",,Occitanie,France
10513,"10513, Hansastraße, Scheunenhofviertel, Leipziger Vorstadt, Neustadt, Dresden, Sachsen, 01097, Deutschland","(51.0703823, 13.7388752, 0.0)",Dresden,Sachsen,Deutschland
11370,"Leucate, Narbonne, Aude, Occitanie, France métropolitaine, 11370, France","(42.878950761016924, 3.044355040569208, 0.0)",,Occitanie,France
3040-471,"Hofen, Mühlhausen, Stuttgart, Baden-Württemberg, 70378, Deutschland","(48.8344558, 9.2223684, 0.0)",Stuttgart,Baden-Württemberg,Deutschland
36380,"Gondomar, Vigo, Pontevedra, Galicia, 36380, España","(42.11160544329412, -8.762810820511568, 0.0)",,Galicia,España
50001,"Zaragoza, Aragón, 50001, España","(41.65156875915405, -0.8768921524660956, 0.0)",Zaragoza,Aragón,España
41600,"Chaumont-sur-Tharonne, Romorantin-Lanthenay, Loir-et-Cher, Centre-Val de Loire, France métropolitaine, 41600, France","(47.6115601663491, 1.9380494350094146, 0.0)",,Centre-Val de Loire,France
08204,"Sabadell, Vallès Occidental, Barcelona, Catalunya, 08204, España","(41.52886306666666, 2.1112089443183266, 0.0)",Sabadell,Catalunya,España
44600,"Saint-Nazaire, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44600, France","(47.28231549919673, -2.217392570378086, 0.0)",,Pays de la Loire,France
15701,"Santiago de Compostela, Santiago, A Coruña, Galicia, 15701, España","(42.87382500978259, -8.54924186870605, 0.0)",,Galicia,España
15702,"Santiago de Compostela, Santiago, A Coruña, Galicia, 15702, España","(42.86800255625, -8.546566896536943, 0.0)",,Galicia,España
44580,"Bourgneuf-en-Retz, Villeneuve-en-Retz, Saint-Nazaire, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44580, France","(47.04626704999999, -1.9296859924396164, 0.0)",Villeneuve-en-Retz,Pays de la Loire,France
08570,"Torelló, Osona, Barcelona, Catalunya, 08570, España","(42.04557457777778, 2.265081681556368, 0.0)",Torelló,Catalunya,España
27780,"Garennes-sur-Eure, Évreux, Eure, Normandie, France métropolitaine, 27780, France","(48.915540195000005, 1.43254681708063, 0.0)",,Normandie,France
43205,"Reus, Baix Camp, Tarragona, Catalunya, 43205, España","(41.149222281321784, 1.1259660475755455, 0.0)",Reus,Catalunya,España
01009,"Txagorritxu, Vitoria-Gasteiz, Gasteizko kuadrilla/Cuadrilla de Vitoria, Araba/Álava, Euskadi, 01009, España","(42.85339644243028, -2.685068686618012, 0.0)",Vitoria-Gasteiz,Euskadi,España
